,POLITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GEO-REGION_CODE,GEO-SUBREGION_CODE,FoG_compname,AREA,MATCH_RATIO,MATCH_NAME,AREA_MATCH,DIST_TO_CLOSEST,CLOSEST,AREA_CLOSEST
693,CH,A NEUVE GL. L',2312,4N013,85,,,,,45.94,7.05,,,,,,,M. Zemp: GenInfo from WGI for table RECONSTRUCTION - not sure if it's north or south branche!Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,a neuve gl. l',,0.7741935483870968,a neuve g de l'-s,1.9190599999999998,588.6873495472242,a neuve g de l'-s,1.9190599999999998
694,CH,ADLER,3801,N0125,6,3,0016B,WESTERN ALPS,RHONE BASIN,46.01,7.87,6.0,2,8.0,W,W,389.0,Disintegrated from Findelengletscher in the 1990s.,CEU,CEU-01,adler,,0.9090909090909091,adlerg,2.0381299999999998,786.5924219938429,adlerg,2.0381299999999998
695,CH,ALBIGNA,1674,,,,116,EASTERN ALPS,ADDA BASIN,46.3,9.64,,,,N,N,,"Data from swiss glacier inventory. Entry from former field AUTHORS: ""Maisch et al. 1998"".Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 0 / 0.",CEU,CEU-01,albigna,8.71,0.7142857142857143,salbitg,0.0325,408.8399613955404,albigna vadrec d',2.50312
696,CH,ALLALIN,394,N0125,2, 29,0011,WESTERN ALPS,RHONE BASIN,46.05,7.93,6.0,2,6.0,N,E,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,allalin,9.68,0.9333333333333333,allaling,9.17125,810.7415421664037,hohlaubgrat-e,0.00628
697,CH,ALPETLI(KANDER),439,R0135,5,B13,0109,WESTERN ALPS,AARE BASIN,46.48,7.8,5.0,3,6.0,NW,SW,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,alpetli(kander),14.02,0.5714285714285714,alplistock-ne,0.020380000000000002,1261.039122585336,kanderfirn,12.23312
698,CH,ALTELS,3302,,,,,WESTERN ALPS,AARE BASIN,46.43,7.67,,,,NW,NW,,COORDINATES: approximated from google earth.,CEU,CEU-01,altels,,0.8571428571428571,altels-s,0.0245,331.2467000779336,altels-nw,0.1159
699,CH,AMMERTEN,435,R0135,5,F 1,0111,WESTERN ALPS,AARE BASIN,46.42,7.53,6.0,0,7.0,NW,NW,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,ammerten,1.89,0.8421052631578947,ammerteng-e,0.555,1354.8420987852712,ammerteng-e,0.555
700,CH,AROLLA (BAS),377,N0127,3, 14,0027,WESTERN ALPS,RHONE BASIN,45.98,7.5,5.0,1,9.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,arolla (bas),6.02,0.5714285714285714,gavirolas,0.39937,568.1114388752178,mont collon n-i,0.16359
701,CH,BALMHORN,461,4R014,5B,018,0247,        ALPS,BERNESE ALPS,46.45,7.68,6.0,3,6.0,N,N,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,balmhorn,1.7,0.9411764705882353,balmhorng,1.1975,1368.4962612269665,ober tatelishorn-e,0.14609
702,CH,BASODINO,463,L0121,4, 10,0104,WESTERN ALPS,TESSIN BASIN,46.42,8.48,6.0,3,6.0,NE,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,basodino,1.84,0.8888888888888888,basodino-n,0.47297,493.2982718276293,basodino gh. del,1.89437
