,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
0,CH,GRUEEBU-N-II (PART OF B51/17N),4585,,,,,,,46.1716,7.98894,,,,,,460,,Central Europe,Alps,G007989E46172N,RGI50-11.02463
1,CH,GRUEEBU-S (PART OF B51/17N),4586,,,,,,,46.167099,7.99537,,,,,,460,,Central Europe,Alps,G007996E46168N,RGI50-11.02464
2,CH,GRUEEBU-N-I (PART OF B51/17N),4587,,,,,,,46.176102,7.98899,,,,,,460,,Central Europe,Alps,G007986E46177N,
3,CH,FEE-S-I,4588,,,,,,,46.0658,7.9168,,,,,,392,,Central Europe,Alps,G007919E46068N,RGI50-11.02635
4,CH,FEE-S-II,4589,,,,,,,46.059601,7.8909,,,,,,392,,Central Europe,Alps,G007892E46055N,RGI50-11.02635
5,CH,FEE-N-I (ALPHUBEL) (PART OF B53/16N),4590,,,,,,,46.064201,7.87155,,,,,,392,,Central Europe,Alps,G007882E46071N,RGI50-11.02607
6,CH,FEE-N-I (TAESCHHORN) (PART OF B53/16N),4591,,,,,,,46.075901,7.87294,,,,,,392,,Central Europe,Alps,G007871E46080N,RGI50-11.02607
7,CH,FEE-N-I (DOM) (PART OF B53/16N),4592,,,,,,,46.0867,7.86785,,,,,,392,,Central Europe,Alps,G007875E46092N,RGI50-11.02607
8,CH,FEE-N-II,4593,,,,,,,46.102798,7.87832,,,,,,392,,Central Europe,Alps,G007877E46102N,RGI50-11.02594
9,CH,LAVAZ GLATSCHER DA (NO. 82),4594,,,,,,,46.6264,8.93378,,,,,,416,,Central Europe,Alps,G008930E46626N,RGI50-11.01283
10,CH,LAVAZ-W,4595,,,,,,,46.6311,8.92085,,,,,,416,,Central Europe,Alps,G008921E46631N,
11,CH,TSCHIERVA VADRETTIN DA,4596,,,,,,,46.411701,9.89709,,,,,,405,,Central Europe,Alps,,RGI50-11.02011
12,CH,TSCHIERVA  VADRET DA (NO. 93),4597,,,,,,,46.401402,9.8732,,,,,,405,,Central Europe,Alps,,RGI50-11.02051
13,CH,PETIT M. FORT GLACIER DU,4598,,,,,,,46.080299,7.32876,,,,,,372,,Central Europe,Alps,G007329E46078N,RGI50-11.02631
14,CH,M. FORT GLACIER DU,4599,,,,,,,46.087502,7.32228,,,,,,372,,Central Europe,Alps,G007319E46085N,RGI50-11.02610
15,CH,MONT FORT-E,4600,,,,,,,46.079399,7.3223,,,,,,372,,Central Europe,Alps,G007322E46080N,
16,CH,TOURNELON BLANC-SE,4601,,,,,,,45.966,7.32254,,,,,,2664,,Central Europe,Alps,G007320E45966N,RGI50-11.02869
17,CH,TOURNELON BLANC-E,4602,,,,,,,45.970501,7.32382,,,,,,2664,,Central Europe,Alps,G007324E45970N,RGI50-11.02860
18,CH,TOURNELON BLANC-NE,4603,,,,,,,45.974098,7.32511,,,,,,2664,,Central Europe,Alps,G007321E45976N,RGI50-11.02843
19,CH,COL DU TOURNELON BLANC,4604,,,,,,,45.962398,7.31739,,,,,,2664,,Central Europe,Alps,G007318E45962N,RGI50-11.02889
20,CH,GRIESSFIRN-I (NO. 74),4605,,,,,,,46.8339,8.81762,,,,,,425,,Central Europe,Alps,G008816E46833N,RGI50-11.00884
21,CH,GRIESSFIRN-II,4606,,,,,,,46.843601,8.83885,,,,,,425,,Central Europe,Alps,G008836E46834N,
22,CH,HOHLAUBGRAT-E (PART OF B52/67N),4607,,,,,,,46.0532,7.92056,,,,,,3332,,Central Europe,Alps,G007920E46052N,
23,CH,HOHLAUB  (PART OF B52/67N),4608,,,,,,,46.050598,7.90374,,,,,,3332,,Central Europe,Alps,G007902E46050N,RGI50-11.02690
24,CH,OBERS ISCHMEER (PART OF A54L/19),4609,,,,,,,46.562302,8.10377,,,,,,443,,Central Europe,Alps,G008098E46566N,RGI50-11.01346
25,CH,FIESCHER BE (PART OF A54L/19),4610,,,,,,,46.5718,8.025621,,,,,,443,,Central Europe,Alps,G008051E46567N,RGI50-11.01346
26,CH,TSCHINGELFIRN (NO. 60),4611,,,,,,,46.487999,7.83847,,,,,,441,,Central Europe,Alps,G007833E46493N,RGI50-11.01622
27,CH,TSCHINGELSPITZ-S,4612,,,,,,,46.506901,7.84121,,,,,,441,,Central Europe,Alps,G007840E46507N,RGI50-11.01638
28,CH,TSCHINGELGRAT-S,4613,,,,,,,46.507801,7.84904,,,,,,441,,Central Europe,Alps,G007848E46508N,
29,CH,A NEUVE GLACIER DE L'-S,4614,,,,,,,45.9357,7.05444,,,,,,2312,,Central Europe,Alps,G007053E45935N,RGI50-11.02921
30,CH,A NEUVE GLACIER DE L'-N,4615,,,,,,,45.946499,7.05308,,,,,,2312,,Central Europe,Alps,G007050E45949N,RGI50-11.02897
31,CH,TRIAZZA VADRET DA,4616,,,,,,,46.765499,10.352,,,,,,400,,Central Europe,Alps,G010351E46765N,RGI50-11.01058
32,CH,CLARIDEN FIRN-II,4617,,,,,,,46.846401,8.89793,,,,,,2660,,Central Europe,Alps,G008888E46846N,RGI50-11.00843
33,CH,CLARIDEN  FIRN-IV,4618,,,,,,,46.855099,8.91915,,,,,,2660,,Central Europe,Alps,G008914E46857N,
34,CH,CLARIDEN FIRN-I (SPITZALPELIFIRN),4619,,,,,,,46.834,8.8871,,,,,,2660,,Central Europe,Alps,G008883E46833N,RGI50-11.00878
35,CH,CLARIDEN FIRN-III,4620,,,,,,,46.855202,8.91128,,,,,,2660,,Central Europe,Alps,G008907E46855N,RGI50-11.00817
36,CH,ALTELS-S,4621,,,,,,,46.426399,7.6754,,,,,,3302,,Central Europe,Alps,G007678E46427N,RGI50-11.01936
37,CH,ALTELS-NW,4622,,,,,,,46.430901,7.67412,,,,,,3302,,Central Europe,Alps,G007671E46431N,
